"_id","employee_id","date","hostname","os","login_time","logout_time","active_hours"
"ObjectId(""6849ef87ab2373184fe07c3b"")","E006","2025-06-01","laptop-78.vasquez.net","Windows","08:22","18:33",9.8
"ObjectId(""6849ef87ab2373184fe07c3c"")","E006","2025-06-02","db-98.orr-garcia.com","macOS","10:41","17:28",7.2
"ObjectId(""6849ef87ab2373184fe07c3d"")","E006","2025-06-03","srv-50.pierce.com","Windows","10:03","19:15",8.7
"ObjectId(""6849ef87ab2373184fe07c3e"")","E006","2025-06-04","lt-50.harris.org","macOS","08:16","17:52",8.8
"ObjectId(""6849ef87ab2373184fe07c3f"")","E006","2025-06-05","desktop-06.sullivan.biz","macOS","09:59","18:24",9.4
"ObjectId(""6849ef87ab2373184fe07c40"")","E006","2025-06-06","lt-97.henry.info","macOS","08:31","16:26",8.6
"ObjectId(""6849ef87ab2373184fe07c41"")","E006","2025-06-07","lt-05.brown.com","Linux","08:10","16:25",8.2
"ObjectId(""6849ef87ab2373184fe07c42"")","E006","2025-06-08","db-34.torres.com","Windows","09:19","19:57",9.9
"ObjectId(""6849ef87ab2373184fe07c43"")","E006","2025-06-09","desktop-05.conley.org","macOS","10:40","17:27",7.2
"ObjectId(""6849ef87ab2373184fe07c44"")","E006","2025-06-10","desktop-93.ferguson-delgado.net","Windows","08:46","15:02",6.2
"ObjectId(""6849ef87ab2373184fe07c45"")","E007","2025-06-01","web-36.davis-weaver.com","macOS","09:00","18:22",9.7
"ObjectId(""6849ef87ab2373184fe07c46"")","E007","2025-06-02","desktop-50.smith.org","Linux","07:42","17:16",10.5
"ObjectId(""6849ef87ab2373184fe07c47"")","E007","2025-06-03","lt-15.reed.biz","macOS","08:35","17:07",8.8
"ObjectId(""6849ef87ab2373184fe07c48"")","E007","2025-06-04","laptop-21.anderson-lane.com","Windows","10:01","19:44",9.3
"ObjectId(""6849ef87ab2373184fe07c49"")","E007","2025-06-05","lt-90.martinez.com","macOS","10:18","18:59",8.3
"ObjectId(""6849ef87ab2373184fe07c4a"")","E007","2025-06-06","db-68.miller.com","Linux","08:18","18:07",9.8
"ObjectId(""6849ef87ab2373184fe07c4b"")","E007","2025-06-07","laptop-23.curtis.org","Windows","09:18","19:30",10.4
"ObjectId(""6849ef87ab2373184fe07c4c"")","E007","2025-06-08","email-37.williams-lawson.com","Linux","08:03","18:34",10.1
"ObjectId(""6849ef87ab2373184fe07c4d"")","E007","2025-06-09","laptop-73.guerra.org","Windows","09:52","16:17",7.4
"ObjectId(""6849ef87ab2373184fe07c4e"")","E007","2025-06-10","srv-54.green.info","macOS","09:37","16:00",7.1
"ObjectId(""6849ef87ab2373184fe07c4f"")","E008","2025-06-01","desktop-98.whitehead.org","macOS","07:09","14:04",7
"ObjectId(""6849ef87ab2373184fe07c50"")","E008","2025-06-02","email-35.moreno-rodriguez.com","Windows","08:42","18:04",10.3
"ObjectId(""6849ef87ab2373184fe07c51"")","E008","2025-06-03","db-19.gutierrez-pacheco.biz","Windows","10:17","20:30",10.3
"ObjectId(""6849ef87ab2373184fe07c52"")","E008","2025-06-04","desktop-40.gonzales-thomas.com","Windows","08:32","18:27",10.2
"ObjectId(""6849ef87ab2373184fe07c53"")","E008","2025-06-05","email-89.maldonado.com","macOS","07:03","16:48",9.9
"ObjectId(""6849ef87ab2373184fe07c54"")","E008","2025-06-06","srv-36.anderson.biz","Windows","09:40","16:16",6.6
"ObjectId(""6849ef87ab2373184fe07c55"")","E008","2025-06-07","web-04.stone.com","Windows","10:16","19:50",9
"ObjectId(""6849ef87ab2373184fe07c56"")","E008","2025-06-08","desktop-39.johnson.com","macOS","10:22","19:56",8.8
"ObjectId(""6849ef87ab2373184fe07c57"")","E008","2025-06-09","db-15.ortiz-elliott.com","Windows","09:37","18:00",9.5
"ObjectId(""6849ef87ab2373184fe07c58"")","E008","2025-06-10","lt-46.vega.com","Linux","07:15","15:01",7.4
"ObjectId(""6849ef87ab2373184fe07c59"")","E009","2025-06-01","lt-46.salazar-johnson.com","macOS","07:40","15:01",7.4
"ObjectId(""6849ef87ab2373184fe07c5a"")","E009","2025-06-02","web-19.atkinson-hicks.org","Windows","10:14","20:44",10.4
"ObjectId(""6849ef87ab2373184fe07c5b"")","E009","2025-06-03","laptop-85.wagner.com","Windows","09:17","19:47",9.7
"ObjectId(""6849ef87ab2373184fe07c5c"")","E009","2025-06-04","email-51.diaz.biz","Windows","09:07","17:59",8.1
"ObjectId(""6849ef87ab2373184fe07c5d"")","E009","2025-06-05","desktop-95.marshall.com","Windows","07:51","14:26",6.8
"ObjectId(""6849ef87ab2373184fe07c5e"")","E009","2025-06-06","srv-49.harris-thompson.com","Linux","08:44","18:49",9.9
"ObjectId(""6849ef87ab2373184fe07c5f"")","E009","2025-06-07","srv-15.wilcox.com","Linux","08:38","17:11",9.7
"ObjectId(""6849ef87ab2373184fe07c60"")","E009","2025-06-08","lt-19.smith-mills.com","Windows","10:26","18:53",8.4
"ObjectId(""6849ef87ab2373184fe07c61"")","E009","2025-06-09","lt-62.mccarty.com","Windows","08:32","15:03",6.9
"ObjectId(""6849ef87ab2373184fe07c62"")","E009","2025-06-10","srv-38.petersen.info","Linux","07:04","16:42",8.9
"ObjectId(""6849ef87ab2373184fe07c63"")","E010","2025-06-01","srv-38.larson-richardson.com","macOS","09:22","19:19",9.8
"ObjectId(""6849ef87ab2373184fe07c64"")","E010","2025-06-02","lt-66.hill-miller.com","Linux","09:21","19:41",10.2
"ObjectId(""6849ef87ab2373184fe07c65"")","E010","2025-06-03","db-15.sheppard-gonzalez.info","Linux","08:13","17:33",9
"ObjectId(""6849ef87ab2373184fe07c66"")","E010","2025-06-04","desktop-49.myers-levine.net","macOS","08:21","15:44",6.4
"ObjectId(""6849ef87ab2373184fe07c67"")","E010","2025-06-05","email-02.johnson.com","Windows","09:18","17:49",8.6
"ObjectId(""6849ef87ab2373184fe07c68"")","E010","2025-06-06","desktop-14.newman.info","Windows","09:30","18:00",9.4
"ObjectId(""6849ef87ab2373184fe07c69"")","E010","2025-06-07","desktop-82.lewis.com","Linux","07:58","17:26",9.4
"ObjectId(""6849ef87ab2373184fe07c6a"")","E010","2025-06-08","web-72.burch-ho.com","Windows","07:31","16:13",9.1
"ObjectId(""6849ef87ab2373184fe07c6b"")","E010","2025-06-09","desktop-10.conway.info","Windows","10:08","20:54",9.6
"ObjectId(""6849ef87ab2373184fe07c6c"")","E010","2025-06-10","srv-53.klein.org","Windows","10:25","20:55",10.4
"ObjectId(""6849ef87ab2373184fe07c6d"")","E011","2025-06-01","desktop-26.morris.com","macOS","07:18","17:14",10.4
"ObjectId(""6849ef87ab2373184fe07c6e"")","E011","2025-06-02","web-58.hogan.com","macOS","07:37","15:27",8
"ObjectId(""6849ef87ab2373184fe07c6f"")","E011","2025-06-03","db-62.morris-brown.com","Linux","08:27","17:35",8.9
"ObjectId(""6849ef87ab2373184fe07c70"")","E011","2025-06-04","email-10.nelson.com","Windows","09:56","16:36",7.4
"ObjectId(""6849ef87ab2373184fe07c71"")","E011","2025-06-05","web-95.lutz.com","Windows","07:53","14:46",7.2
"ObjectId(""6849ef87ab2373184fe07c72"")","E011","2025-06-06","db-80.marks-jones.biz","Windows","07:30","15:29",7.5
"ObjectId(""6849ef87ab2373184fe07c73"")","E011","2025-06-07","desktop-86.duran-wagner.net","macOS","08:44","18:22",10.2
"ObjectId(""6849ef87ab2373184fe07c74"")","E011","2025-06-08","web-15.hogan-nguyen.com","Windows","07:06","17:42",9.5
"ObjectId(""6849ef87ab2373184fe07c75"")","E011","2025-06-09","srv-02.dixon.com","Linux","07:00","17:43",9.8
"ObjectId(""6849ef87ab2373184fe07c76"")","E011","2025-06-10","web-67.bender-rogers.com","Linux","08:16","17:07",9.1
"ObjectId(""6849ef87ab2373184fe07c77"")","E012","2025-06-01","laptop-27.munoz.info","Windows","09:40","19:49",10
"ObjectId(""6849ef87ab2373184fe07c78"")","E012","2025-06-02","email-82.baker-brown.info","Windows","08:29","17:48",8.9
"ObjectId(""6849ef87ab2373184fe07c79"")","E012","2025-06-03","db-99.parks-gordon.org","Linux","10:16","17:35",7.1
"ObjectId(""6849ef87ab2373184fe07c7a"")","E012","2025-06-04","desktop-13.chen-blake.net","Windows","08:55","16:15",8.2
"ObjectId(""6849ef87ab2373184fe07c7b"")","E012","2025-06-05","desktop-04.lambert.net","Windows","07:23","16:14",9
"ObjectId(""6849ef87ab2373184fe07c7c"")","E012","2025-06-06","laptop-00.harris.org","Windows","10:19","17:59",7.1
"ObjectId(""6849ef87ab2373184fe07c7d"")","E012","2025-06-07","lt-92.dean.com","Windows","09:33","17:26",8.4
"ObjectId(""6849ef87ab2373184fe07c7e"")","E012","2025-06-08","desktop-71.howard.net","Linux","10:56","20:31",9.5
"ObjectId(""6849ef87ab2373184fe07c7f"")","E012","2025-06-09","srv-93.kemp-rivera.net","macOS","09:42","16:43",7.1
"ObjectId(""6849ef87ab2373184fe07c80"")","E012","2025-06-10","lt-35.miller-lowe.com","macOS","09:59","18:24",9.1
"ObjectId(""6849ef87ab2373184fe07c81"")","E013","2025-06-01","desktop-84.pena-donovan.com","Windows","10:29","19:34",9
"ObjectId(""6849ef87ab2373184fe07c82"")","E013","2025-06-02","srv-16.smith.net","macOS","08:05","16:34",7.9
"ObjectId(""6849ef87ab2373184fe07c83"")","E013","2025-06-03","laptop-67.dawson.org","Windows","08:43","16:42",7.7
"ObjectId(""6849ef87ab2373184fe07c84"")","E013","2025-06-04","desktop-77.rogers-nguyen.com","Windows","10:10","20:36",9.8
"ObjectId(""6849ef87ab2373184fe07c85"")","E013","2025-06-05","web-18.trevino-watkins.org","Linux","10:54","17:07",7.3
"ObjectId(""6849ef87ab2373184fe07c86"")","E013","2025-06-06","db-60.king-marshall.com","Linux","09:16","18:48",8.8
"ObjectId(""6849ef87ab2373184fe07c87"")","E013","2025-06-07","desktop-49.mclean.com","Linux","09:52","18:54",9.7
"ObjectId(""6849ef87ab2373184fe07c88"")","E013","2025-06-08","web-12.simon.com","macOS","08:54","15:01",6.6
"ObjectId(""6849ef87ab2373184fe07c89"")","E013","2025-06-09","lt-27.suarez.com","Linux","08:37","16:42",8.4
"ObjectId(""6849ef87ab2373184fe07c8a"")","E013","2025-06-10","db-34.bird.com","Linux","10:25","20:28",9.3
"ObjectId(""6849ef87ab2373184fe07c8b"")","E014","2025-06-01","srv-63.shaw.com","Linux","08:22","18:00",10.2
"ObjectId(""6849ef87ab2373184fe07c8c"")","E014","2025-06-02","laptop-46.torres.net","Windows","08:34","17:17",9.4
"ObjectId(""6849ef87ab2373184fe07c8d"")","E014","2025-06-03","srv-47.jordan.biz","macOS","08:09","15:08",6.8
"ObjectId(""6849ef87ab2373184fe07c8e"")","E014","2025-06-04","laptop-75.reed.com","macOS","07:09","16:02",8.7
"ObjectId(""6849ef87ab2373184fe07c8f"")","E014","2025-06-05","email-20.park.info","macOS","07:23","16:18",8.3
"ObjectId(""6849ef87ab2373184fe07c90"")","E014","2025-06-06","laptop-85.jensen.com","macOS","07:10","17:49",10.9
"ObjectId(""6849ef87ab2373184fe07c91"")","E014","2025-06-07","laptop-03.lewis.com","macOS","10:35","20:16",10
"ObjectId(""6849ef87ab2373184fe07c92"")","E014","2025-06-08","web-75.miller.net","macOS","10:53","20:09",10.2
"ObjectId(""6849ef87ab2373184fe07c93"")","E014","2025-06-09","laptop-68.martinez.com","Linux","08:30","17:38",8.2
"ObjectId(""6849ef87ab2373184fe07c94"")","E014","2025-06-10","db-19.nelson.org","macOS","07:57","16:47",8.7
"ObjectId(""6849ef87ab2373184fe07c95"")","E015","2025-06-01","desktop-90.mcbride-smith.com","macOS","09:40","17:20",8.1
"ObjectId(""6849ef87ab2373184fe07c96"")","E015","2025-06-02","db-17.daniels-turner.com","Windows","07:18","14:18",7.4
"ObjectId(""6849ef87ab2373184fe07c97"")","E015","2025-06-03","web-92.schwartz-ross.net","Windows","09:47","18:09",8.7
"ObjectId(""6849ef87ab2373184fe07c98"")","E015","2025-06-04","lt-62.kelley-crosby.com","Linux","10:33","19:44",8.4
"ObjectId(""6849ef87ab2373184fe07c99"")","E015","2025-06-05","web-03.porter-walker.com","macOS","08:15","15:49",7
"ObjectId(""6849ef87ab2373184fe07c9a"")","E015","2025-06-06","srv-22.thompson.com","macOS","07:54","17:13",10.1
"ObjectId(""6849ef87ab2373184fe07c9b"")","E015","2025-06-07","srv-46.wallace.com","Linux","08:53","15:33",7.8
"ObjectId(""6849ef87ab2373184fe07c9c"")","E015","2025-06-08","laptop-03.martin-mccall.net","Linux","07:58","17:25",10.2
"ObjectId(""6849ef87ab2373184fe07c9d"")","E015","2025-06-09","web-19.francis.com","Windows","07:57","15:20",8.7
"ObjectId(""6849ef87ab2373184fe07c9e"")","E015","2025-06-10","laptop-11.schneider-reed.com","macOS","07:20","16:41",8.5
"ObjectId(""6849ef87ab2373184fe07c9f"")","E016","2025-06-01","db-20.patel.biz","Windows","08:03","17:59",9.2
"ObjectId(""6849ef87ab2373184fe07ca0"")","E016","2025-06-02","web-72.morgan.com","macOS","10:51","17:01",7.4
"ObjectId(""6849ef87ab2373184fe07ca1"")","E016","2025-06-03","laptop-60.wilkins.com","macOS","08:34","17:15",8.8
"ObjectId(""6849ef87ab2373184fe07ca2"")","E016","2025-06-04","email-29.scott.com","Linux","10:55","18:34",7.9
"ObjectId(""6849ef87ab2373184fe07ca3"")","E016","2025-06-05","db-49.boyer-jennings.net","macOS","08:31","15:58",7.1
"ObjectId(""6849ef87ab2373184fe07ca4"")","E016","2025-06-06","laptop-47.elliott.biz","macOS","08:51","18:48",9.4
"ObjectId(""6849ef87ab2373184fe07ca5"")","E016","2025-06-07","desktop-04.williams.com","Windows","08:06","15:53",7
"ObjectId(""6849ef87ab2373184fe07ca6"")","E016","2025-06-08","email-23.graham.info","macOS","08:49","15:24",6.2
"ObjectId(""6849ef87ab2373184fe07ca7"")","E016","2025-06-09","email-68.cobb-harrison.org","Linux","08:29","18:43",10.1
"ObjectId(""6849ef87ab2373184fe07ca8"")","E016","2025-06-10","desktop-31.hernandez-arias.com","macOS","08:14","15:01",7.2
"ObjectId(""6849ef87ab2373184fe07ca9"")","E017","2025-06-01","lt-07.thompson-benton.com","Linux","08:58","16:47",7.8
"ObjectId(""6849ef87ab2373184fe07caa"")","E017","2025-06-02","desktop-66.obrien-blackburn.com","Windows","09:07","17:30",8
"ObjectId(""6849ef87ab2373184fe07cab"")","E017","2025-06-03","laptop-15.roberts.com","macOS","07:26","15:43",7.9
"ObjectId(""6849ef87ab2373184fe07cac"")","E017","2025-06-04","web-61.reed.net","macOS","07:16","17:24",10.3
"ObjectId(""6849ef87ab2373184fe07cad"")","E017","2025-06-05","lt-12.wright.com","Windows","07:42","15:54",8.5
"ObjectId(""6849ef87ab2373184fe07cae"")","E017","2025-06-06","db-85.blackburn.com","macOS","08:31","18:41",9.8
"ObjectId(""6849ef87ab2373184fe07caf"")","E017","2025-06-07","email-52.butler-ramirez.com","macOS","09:04","19:06",10.4
"ObjectId(""6849ef87ab2373184fe07cb0"")","E017","2025-06-08","lt-04.bush.com","Windows","10:09","17:16",6.8
"ObjectId(""6849ef87ab2373184fe07cb1"")","E017","2025-06-09","laptop-02.sawyer-hall.net","Windows","09:32","19:53",9.2
"ObjectId(""6849ef87ab2373184fe07cb2"")","E017","2025-06-10","lt-84.gilbert.com","Linux","09:34","18:06",9.6
"ObjectId(""6849ef87ab2373184fe07cb3"")","E018","2025-06-01","srv-27.moore.info","Windows","10:17","18:58",8.2
"ObjectId(""6849ef87ab2373184fe07cb4"")","E018","2025-06-02","email-94.smith-hill.com","macOS","07:34","16:24",8.8
"ObjectId(""6849ef87ab2373184fe07cb5"")","E018","2025-06-03","lt-00.williamson-barber.com","macOS","07:36","14:12",7.4
"ObjectId(""6849ef87ab2373184fe07cb6"")","E018","2025-06-04","web-80.williams.com","Windows","08:49","17:54",9.1
"ObjectId(""6849ef87ab2373184fe07cb7"")","E018","2025-06-05","web-82.liu.com","Windows","08:28","18:09",9.5
"ObjectId(""6849ef87ab2373184fe07cb8"")","E018","2025-06-06","web-65.martin.biz","Linux","08:13","17:02",9
"ObjectId(""6849ef87ab2373184fe07cb9"")","E018","2025-06-07","email-01.chase.com","Linux","09:12","19:05",10
"ObjectId(""6849ef87ab2373184fe07cba"")","E018","2025-06-08","web-46.walker-mcguire.com","macOS","10:57","17:47",6.8
"ObjectId(""6849ef87ab2373184fe07cbb"")","E018","2025-06-09","laptop-93.garcia.com","Windows","10:29","18:21",8.1
"ObjectId(""6849ef87ab2373184fe07cbc"")","E018","2025-06-10","email-55.melton.com","Linux","08:42","15:06",6.8
"ObjectId(""6849ef87ab2373184fe07cbd"")","E019","2025-06-01","web-39.bryant-perry.com","Windows","09:06","17:05",7.9
"ObjectId(""6849ef87ab2373184fe07cbe"")","E019","2025-06-02","desktop-89.morales.com","Linux","09:13","18:15",8.9
"ObjectId(""6849ef87ab2373184fe07cbf"")","E019","2025-06-03","email-07.smith-park.com","macOS","09:35","19:53",9.5
"ObjectId(""6849ef87ab2373184fe07cc0"")","E019","2025-06-04","desktop-23.hess.net","Windows","07:46","17:03",10.1
"ObjectId(""6849ef87ab2373184fe07cc1"")","E019","2025-06-05","srv-77.valenzuela.biz","Windows","09:01","16:33",7.1
"ObjectId(""6849ef87ab2373184fe07cc2"")","E019","2025-06-06","desktop-10.smith.org","macOS","08:02","16:46",7.7
"ObjectId(""6849ef87ab2373184fe07cc3"")","E019","2025-06-07","srv-19.johnson-clayton.biz","macOS","07:20","15:48",7.3
"ObjectId(""6849ef87ab2373184fe07cc4"")","E019","2025-06-08","web-38.matthews.com","macOS","09:22","19:10",9.8
"ObjectId(""6849ef87ab2373184fe07cc5"")","E019","2025-06-09","srv-32.townsend.org","Windows","10:33","17:13",6.8
"ObjectId(""6849ef87ab2373184fe07cc6"")","E019","2025-06-10","desktop-45.jones-johnson.net","Linux","09:48","19:36",9.6
"ObjectId(""6849ef87ab2373184fe07cc7"")","E020","2025-06-01","laptop-76.williams.com","Windows","10:26","19:32",9.5
"ObjectId(""6849ef87ab2373184fe07cc8"")","E020","2025-06-02","desktop-53.hayden.com","Linux","07:43","16:44",9.1
"ObjectId(""6849ef87ab2373184fe07cc9"")","E020","2025-06-03","srv-81.hancock-hill.com","macOS","10:10","18:47",8.1
"ObjectId(""6849ef87ab2373184fe07cca"")","E020","2025-06-04","db-90.smith.biz","Linux","07:26","14:16",7.2
"ObjectId(""6849ef87ab2373184fe07ccb"")","E020","2025-06-05","web-64.hall.com","Windows","08:36","17:56",9.9
"ObjectId(""6849ef87ab2373184fe07ccc"")","E020","2025-06-06","lt-38.young.com","macOS","07:43","16:26",8.7
"ObjectId(""6849ef87ab2373184fe07ccd"")","E020","2025-06-07","db-67.brown.com","Windows","08:19","16:50",8.2
"ObjectId(""6849ef87ab2373184fe07cce"")","E020","2025-06-08","srv-31.massey-robertson.com","macOS","10:28","19:23",9.8
"ObjectId(""6849ef87ab2373184fe07ccf"")","E020","2025-06-09","srv-84.williamson-white.info","Windows","09:20","19:45",9.3
"ObjectId(""6849ef87ab2373184fe07cd0"")","E020","2025-06-10","desktop-88.marshall.info","macOS","09:24","16:52",6.7
"ObjectId(""6849ef87ab2373184fe07cd1"")","E021","2025-06-01","web-26.taylor-shaw.com","Linux","08:51","17:15",9
"ObjectId(""6849ef87ab2373184fe07cd2"")","E021","2025-06-02","email-10.davis.net","Windows","10:22","17:35",6.9
"ObjectId(""6849ef87ab2373184fe07cd3"")","E021","2025-06-03","web-54.mullins.info","Windows","08:19","17:44",8.4
"ObjectId(""6849ef87ab2373184fe07cd4"")","E021","2025-06-04","web-66.brown.org","Linux","08:35","17:38",9.5
"ObjectId(""6849ef87ab2373184fe07cd5"")","E021","2025-06-05","desktop-45.pollard.com","Windows","07:35","14:58",6.8
"ObjectId(""6849ef87ab2373184fe07cd6"")","E021","2025-06-06","web-10.gaines.com","Linux","10:40","19:41",9
"ObjectId(""6849ef87ab2373184fe07cd7"")","E021","2025-06-07","web-84.taylor.net","macOS","08:29","16:31",8.2
"ObjectId(""6849ef87ab2373184fe07cd8"")","E021","2025-06-08","lt-29.kelly-cruz.com","macOS","08:37","17:23",8.9
"ObjectId(""6849ef87ab2373184fe07cd9"")","E021","2025-06-09","db-53.marquez.org","Linux","09:13","18:19",9.7
"ObjectId(""6849ef87ab2373184fe07cda"")","E021","2025-06-10","srv-41.valdez.org","Windows","07:14","16:11",8.7
"ObjectId(""6849ef87ab2373184fe07cdb"")","E022","2025-06-01","lt-28.moore-peterson.info","Windows","09:44","16:31",6.4
"ObjectId(""6849ef87ab2373184fe07cdc"")","E022","2025-06-02","db-01.ford.com","Windows","09:03","16:56",6.9
"ObjectId(""6849ef87ab2373184fe07cdd"")","E022","2025-06-03","laptop-57.huerta.biz","Windows","09:29","18:04",8.3
"ObjectId(""6849ef87ab2373184fe07cde"")","E022","2025-06-04","db-72.erickson-mcbride.com","macOS","08:42","16:25",7.7
"ObjectId(""6849ef87ab2373184fe07cdf"")","E022","2025-06-05","srv-03.mcdaniel.biz","Windows","10:03","18:19",8.4
"ObjectId(""6849ef87ab2373184fe07ce0"")","E022","2025-06-06","db-14.carter.com","Windows","10:12","18:09",8.8
